l1,l2,syntactic_dist,genetic_dist,shared_script
als_Latn,uzn_Latn,0.6502,1.0,1
afr_Latn,fin_Latn,0.4315,1.0,1
khk_Cyrl,tat_Cyrl,0.3173,1.0,1
tat_Cyrl,ukr_Cyrl,0.4928,1.0,1
bel_Cyrl,rus_Cyrl,0.2817,0.0,1
mkd_Cyrl,tgk_Cyrl,0.7012,0.9131,1
arz_Arab,urd_Arab,0.6625,1.0,1
glg_Latn,uzn_Latn,0.6741,1.0,1
nld_Latn,nob_Latn,0.3643,0.9687,1
kir_Cyrl,rus_Cyrl,0.5988,1.0,1
als_Latn,hrv_Latn,0.0,0.86,1
ekk_Latn,swh_Latn,0.578,0.9638,1
glg_Latn,ron_Latn,0.2132,0.5582,1
lit_Latn,uzn_Latn,0.4675,1.0,1
hau_Latn,zsm_Latn,0.0,1.0,1
afr_Latn,cym_Latn,0.6441,0.9014,1
afr_Latn,deu_Latn,0.2075,0.439,1
asm_Beng,ben_Beng,0.4326,0.4078,1
pap_Latn,slv_Latn,0.0,0.9139,1
als_Latn,cym_Latn,0.501,0.8485,1
glg_Latn,pol_Latn,0.3613,0.9139,1
fra_Latn,isl_Latn,0.4032,0.9248,1
kir_Cyrl,mkd_Cyrl,0.5702,1.0,1
bos_Latn,pap_Latn,0.0,0.9273,1
bel_Cyrl,srp_Cyrl,0.4327,0.6162,1
khk_Cyrl,rus_Cyrl,0.5751,1.0,1
hun_Latn,vie_Latn,0.6392,1.0,1
hrv_Latn,jav_Latn,0.0,1.0,1
eus_Latn,mlt_Latn,0.4097,0.9724,1
ind_Latn,plt_Latn,0.5347,0.7823,1
mar_Deva,npi_Deva,0.0,0.631,1
kaz_Cyrl,khk_Cyrl,0.0,1.0,1
bel_Cyrl,tgk_Cyrl,0.6331,0.8934,1
hau_Latn,som_Latn,0.635,0.8989,1
dan_Latn,por_Latn,0.4983,0.9214,1
arb_Arab,uig_Arab,0.7268,1.0,1
ckb_Arab,urd_Arab,0.0,0.8155,1
fin_Latn,ita_Latn,0.4973,1.0,1
afr_Latn,als_Latn,0.5499,0.86,1
cat_Latn,ces_Latn,0.4838,0.9176,1
hin_Deva,mar_Deva,0.3903,0.6936,1
por_Latn,swe_Latn,0.4084,0.9214,1
hin_Deva,npi_Deva,0.0,0.6614,1
fra_Latn,gle_Latn,0.4601,0.9304,1
gle_Latn,pol_Latn,0.4241,0.8919,1
bul_Cyrl,tgk_Cyrl,0.5801,0.9131,1
hau_Latn,pap_Latn,1.0,1.0,1
bos_Latn,uzn_Latn,0.5353,1.0,1
kmr_Latn,lit_Latn,0.5,0.86,1
arz_Arab,ckb_Arab,0.8003,1.0,1
mar_Deva,tgk_Cyrl,0.6644,0.8245,0
arz_Arab,pap_Latn,1.0,1.0,0
ben_Beng,pol_Latn,0.5792,0.8919,0
bel_Cyrl,kat_Geor,0.3418,1.0,0
guj_Gujr,swe_Latn,0.4918,0.9014,0
bos_Latn,kaz_Cyrl,0.6667,1.0,0
amh_Ethi,arb_Arab,0.6787,0.6936,0
ekk_Latn,lao_Laoo,0.6527,0.967,0
eus_Latn,urd_Arab,0.4563,0.9724,0
jpn_Jpan,sin_Sinh,0.4225,1.0,0
deu_Latn,pan_Guru,0.5268,0.8934,0
hau_Latn,heb_Hebr,0.4278,0.8919,0
eus_Latn,kor_Hang,0.5026,0.9896,0
mya_Mymr,vie_Latn,0.7705,1.0,0
eus_Latn,tat_Cyrl,0.5011,0.9744,0
als_Latn,mar_Deva,0.6822,0.8485,0
arb_Arab,pap_Latn,0.0,1.0,0
als_Latn,asm_Beng,0.6854,0.8691,0
kan_Knda,tam_Taml,0.2552,0.6827,0
afr_Latn,amh_Ethi,0.441,1.0,0
guj_Gujr,ukr_Cyrl,0.4981,0.8919,0
afr_Latn,bul_Cyrl,0.3977,0.9014,0
ita_Latn,mya_Mymr,0.7714,1.0,0
bel_Cyrl,hun_Latn,0.3325,1.0,0
bel_Cyrl,ekk_Latn,0.4867,0.9791,0
bos_Latn,srp_Cyrl,0.2851,0.0,0
fra_Latn,tha_Thai,0.5884,1.0,0
bel_Cyrl,jav_Latn,0.5,1.0,0
jpn_Jpan,pap_Latn,0.0,1.0,0
khm_Khmr,nld_Latn,0.645,1.0,0
jpn_Jpan,npi_Deva,0.2468,1.0,0
kir_Cyrl,por_Latn,0.5702,1.0,0
ben_Beng,lit_Latn,0.5587,0.86,0
bod_Tibt,lao_Laoo,0.619,1.0,0
ind_Latn,mkd_Cyrl,0.3546,1.0,0
fin_Latn,hye_Armn,0.4649,1.0,0
cat_Latn,guj_Gujr,0.5464,0.9237,0
amh_Ethi,arz_Arab,0.656,0.7374,0
dan_Latn,uig_Arab,0.5814,1.0,0
kir_Cyrl,ron_Latn,0.5853,1.0,0
ckb_Arab,cym_Latn,0.8391,0.9014,0
bod_Tibt,kmr_Latn,0.6035,1.0,0
glg_Latn,khk_Cyrl,0.765,1.0,0
ell_Grek,hin_Deva,0.5109,0.8919,0
kan_Knda,mal_Mlym,0.2263,0.6827,0
kan_Knda,tel_Telu,0.2855,0.86,0
asm_Beng,cym_Latn,0.8488,0.9078,0
khk_Cyrl,vie_Latn,0.8221,1.0,0
ben_Beng,rus_Cyrl,0.5574,0.879,0
ckb_Arab,isl_Latn,0.7323,0.9014,0
